"Day 1","HOT! RESULTS","SUBMIT SCORES!","Quarter Lengths by Day","BRACKET BREAKER","","","","","","","","","","","","","","","","","","","","",""
"Thu, July 23","","","6-6-7-7","","","","","","","","","","","","","","","","","","","","","",""
"","","","Seeds","","","","","","","","","","","","","","","","","","","","","",""
"","","C","D","","F","","Team Travels","","","","","","","","","","","","","","","","","",""
"","","3-ORWP","4-CHAWP WHITE","","6-NORCAL BLACK","","","","","","","","","","","","","","","","","","","",""
"","","22-NEWPORT BEACH WHITE","21-CENTRAL VALLEY UNITED","","19-VIPER PIGEON","","","","","","","","","","","","","","","","","","","",""
"","","27-DAVIS WHITE","28-99 ALLIANCE","","30-LOWPO","","","","","","","","","","","","","","","","","","","",""
"","","46-PUNAHOU","45-SLAP","","43-MESA","","","","","","","","","","","","","","","","","","","",""
"","","I","J","","L","","","","","","","","","","","","","","","","","","","",""
"","","9-CORONA DEL MAR","10-VANGUARD SILVER","","12-CAL REPUBLIC","","","","","","","","","","","","","","","","","","","",""
"","","16-LA JOLLA UNITED C","15-TROJAN GOLD","","13-DIABLO ALLIANCE","","","","","","","","","","","","","","","","","","","",""
"","","33-TEXAS THUNDER BLUE","34-SAN JOSE EXPRESS BLUE","","36-OCWPC","","","","","","","","","","","","","","","","","","","",""
"","","40-RISE","39-WCAC UNITED A","","37-BACK BAY","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","16BX","","","","","","","","","","","","","",""
"","","","EDISON HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","","","GMID","","","","","","","","","","","","","",""
"23-Jul","7:00 AM","Group","EDISON HS","1","3-ORWP","16","46-PUNAHOU","6","25","29","16BX-001","","","","","","","","","","","","","",""
"23-Jul","7:50 AM","Group","EDISON HS","5","22-NEWPORT BEACH WHITE","8","27-DAVIS WHITE","4","25","29","16BX-005","","","","","","","","","","","","","",""
"23-Jul","8:40 AM","Group","EDISON HS","9","1-CARLSBAD A","15","48-808","0","33","37","16BX-009","","","","","","","","","","","","","",""
"23-Jul","9:30 AM","Group","EDISON HS","13","24-ALAMEDA","8.4","25-ASPHALT GREEN","8.3","33","37","16BX-013","","","","","","","","","","","","","",""
"23-Jul","10:20 AM","Group","EDISON HS","17","2-SOUTH COAST RED","14","47-NEW TRIER","1","41","45","16BX-017","","","","","","","","","","","","","",""
"23-Jul","11:10 AM","Group","EDISON HS","21","23-CT PREMIER","6.4","26-PRAETORIAN BLACK","6.2","41","45","16BX-021","","","","","","","","","","","","","",""
"23-Jul","12:00 PM","Group","EDISON HS","25","W1-ORWP","7","W5-NEWPORT BEACH WHITE","6","","50","16BX-025","","","","","","","","","","","","","",""
"23-Jul","12:50 PM","Group","EDISON HS","29","L1-PUNAHOU","7.2","L5-DAVIS WHITE","7.4","49","","16BX-029","","","","","","","","","","","","","",""
"23-Jul","1:40 PM","Group","EDISON HS","33","W9-CARLSBAD A","5.11","W13-ALAMEDA","5.10","","57","16BX-033","","","","","","","","","","","","","",""
"23-Jul","2:30 PM","Group","EDISON HS","37","L9-808","2","L13-ASPHALT GREEN","10","53","","16BX-037","","","","","","","","","","","","","",""
"23-Jul","3:20 PM","Group","EDISON HS","41","W17-SOUTH COAST RED","7","W21-CT PREMIER","8","","53","16BX-041","","","","","","","","","","","","","",""
"23-Jul","4:10 PM","Group","EDISON HS","45","L17-NEW TRIER","2","L21-PRAETORIAN BLACK","15","57","","16BX-045","","","","","","","","","","","","","",""
"23-Jul","5:50 PM","2-3 cross","EDISON HS","49","L26-99 ALLIANCE","10","W29-DAVIS WHITE","11","","","16BX-049","","","","","","","","","","","","","",""
"23-Jul","6:40 PM","2-3 cross","EDISON HS","53","L41-SOUTH COAST RED","8.5","W37-ASPHALT GREEN","8.4","","","16BX-053","","","","","","","","","","","","","",""
"23-Jul","7:30 PM","2-3 cross","EDISON HS","57","L33-ALAMEDA","10","W45-PRAETORIAN BLACK","7","","","16BX-057","","","","","","","","","","","","","",""
"","","","LONG BEACH CC 2","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","","Dark","","","","GMID","","","","","","","","","","","","","",""
"23-Jul","7:00 AM","Group","LONG BEACH CC 2","2","4-CHAWP WHITE","16","45-SLAP","6","26","30","16BX-002","","","","","","","","","","","","","",""
"23-Jul","7:50 AM","Group","LONG BEACH CC 2","6","21-CENTRAL VALLEY UNITED","5","28-99 ALLIANCE","12","26","30","16BX-006","","","","","","","","","","","","","",""
