DATE,TIME,LOCATION,GAME ID,WHITE TEAM,S,DARK TEAM,S,COMMENTS,DIVISION,SORTKEY
31-Jan,5:00 PM,WOOLLETT NEAR RIGHT,19Bpt21,L#16-FOOTHILL BLACK,6,L#17-SHAQ,15,3rd/4th H,19U_BOYS_PLATINUM,202601311700
31-Jan,6:00 PM,WOOLLETT NEAR LEFT,19Bpt12,B1(4)-SD SHORES BLACK,12,B2(13)-IMPERIAL BLUE,11,"B bracket B1,B2",19U_BOYS_PLATINUM,202601311800
31-Jan,6:00 PM,WOOLLETT NEAR RIGHT,19Bpt26,E1(2)-LAMORINDA A,16,E2(15)-VANGUARD BLUE,8,"E bracket E1,E2",19U_BOYS_PLATINUM,202601311800
31-Jan,7:00 PM,WOOLLETT NEAR LEFT,19Bpt13,C2(12)-SANTA CRUZ,11,C3(21)-NORTH IRVINE BLACK,9,"C bracket C2,C3",19U_BOYS_PLATINUM,202601311900
31-Jan,7:00 PM,WOOLLETT NEAR RIGHT,19Bpt27,F1(3)-NORCAL,15,F2(14)-SHADOW MEN,9,"F bracket F1,F2",19U_BOYS_PLATINUM,202601311900
1-Feb,7:00 AM,WOOLLETT NEAR LEFT,19Bpt39,O2(3rdC)-NORTH IRVINE BLACK,16,O2(3rdD)-SOUTH COAST RED (A),9,W/L O,19U_BOYS_PLATINUM,202602010700
1-Feb,8:00 AM,WOOLLETT NEAR LEFT,19Bpt28,J1(1stA)-CC UNITED BLACK,12,J4(1stD)-AMERICAN RIVER BLUE,6,1st-8th,19U_BOYS_PLATINUM,202602010800
1-Feb,8:00 AM,YORBA LINDA HS,19Bpt48,N1(3rdA)-LV LEGENDS,11,N2(3rdG)-SAN JOSE EXPRESS BLUE,10,N bracket,19U_BOYS_PLATINUM,202602010800
1-Feb,9:00 AM,WOOLLETT NEAR LEFT,19Bpt29,J2(1stB)-BERKELEY WPC,8,J3(1stC)-LA JOLLA UNITED NAVY,15,1st-8th,19U_BOYS_PLATINUM,202602010900
1-Feb,9:00 AM,YORBA LINDA HS,19Bpt38,O1(3rdE)-CHULA VISTA PREMIER,8,O3(4thG)-CC UNITED BLUE,14,W/L O,19U_BOYS_PLATINUM,202602010900
1-Feb,9:00 AM,EDISON HS,19Bpt49,L1(2ndA)-POWAY VALLEY BLACK,12,L4(2ndD)-SAND CANYON,13,9th16th L1/L4,19U_BOYS_PLATINUM,202602010900
1-Feb,10:00 AM,WOOLLETT NEAR LEFT,19Bpt30,K1(1stE)-LAMORINDA A,15,K4(1stH)-RIVERSIDE,11,1st-8th,19U_BOYS_PLATINUM,202602011000
1-Feb,10:00 AM,YORBA LINDA HS,19Bpt40,P1(3rdF)-SHADOW MEN,20,P3(4thH)-FOOTHILL BLACK,14,W/L P,19U_BOYS_PLATINUM,202602011000
1-Feb,10:00 AM,EDISON HS,19Bpt50,L2(2ndB)-SD SHORES BLACK,8,L3(2ndC)-SANTA CRUZ,7,9th16th L2/L3,19U_BOYS_PLATINUM,202602011000
1-Feb,11:00 AM,WOOLLETT NEAR LEFT,19Bpt31,K2(1stF)-FOOTHILL RED,7,K3(1stG)-CHANNEL ISLANDS UNITED TEAL,15,1st-8th,19U_BOYS_PLATINUM,202602011100
1-Feb,11:00 AM,YORBA LINDA HS,19Bpt41,P2(3rdB)-IMPERIAL BLUE,13,P3(4thD)-SUPREME,9,W/L P,19U_BOYS_PLATINUM,202602011100
1-Feb,12:00 PM,WOOLLETT NEAR LEFT,19Bpt32,W#28-CC UNITED BLACK,14,W#29-LA JOLLA UNITED NAVY,10,1st/2ndJ,19U_BOYS_PLATINUM,202602011200
1-Feb,12:00 PM,YORBA LINDA HS,19Bpt42,N1(3rdA)-LV LEGENDS,3,N3(3rdH)-SHAQ,14,N bracket,19U_BOYS_PLATINUM,202602011200
1-Feb,1:00 PM,WOOLLETT NEAR LEFT,19Bpt33,W#30-LAMORINDA A,9,W#31-CHANNEL ISLANDS UNITED TEAL,8,1st/2ndK,19U_BOYS_PLATINUM,202602011300
1-Feb,1:00 PM,EDISON HS,19Bpt51,M1(2ndE)-VANGUARD BLUE,15,CT PREMIER,17,9th16th M1/M4,19U_BOYS_PLATINUM,202602011300
1-Feb,2:00 PM,WOOLLETT NEAR LEFT,19Bpt34,L#28-AMERICAN RIVER BLUE,11,L#29-BERKELEY WPC,15,3rd/4thJ,19U_BOYS_PLATINUM,202602011400
1-Feb,2:00 PM,YORBA LINDA HS,19Bpt43,W#38-CC UNITED BLUE,10,W#39-NORTH IRVINE BLACK,18,1st/2ndO,19U_BOYS_PLATINUM,202602011400
1-Feb,2:00 PM,EDISON HS,19Bpt52,M2(2ndF)-NORCAL,14,TROJAN,6,9th16th M2/M3,19U_BOYS_PLATINUM,202602011400
1-Feb,3:00 PM,WOOLLETT NEAR LEFT,19Bpt35,L#30-RIVERSIDE,15,L#31-FOOTHILL RED,8,3rd/4thK,19U_BOYS_PLATINUM,202602011500
1-Feb,3:00 PM,YORBA LINDA HS,19Bpt44,L#38-CHULA VISTA PREMIER,5,L#39-SOUTH COAST RED (A),16,3rd/4thO,19U_BOYS_PLATINUM,202602011500
1-Feb,3:00 PM,EDISON HS,19Bpt53,W#49-SAND CANYON,17,W#50-SD SHORES BLACK,14,1st/2ndL,19U_BOYS_PLATINUM,202602011500
1-Feb,4:00 PM,WOOLLETT NEAR LEFT,19Bpt37,R1(1stJ)-CC UNITED BLACK,12.4,R2(1stK)-LAMORINDA A,12.3,overall 1st,19U_BOYS_PLATINUM,202602011600
1-Feb,4:00 PM,YORBA LINDA HS,19Bpt45,N2(3rdG)-SAN JOSE EXPRESS BLUE,11,N3(3rdH)-SHAQ,21,N bracket,19U_BOYS_PLATINUM,202602011600
1-Feb,4:00 PM,EDISON HS,19Bpt54,L#49-POWAY VALLEY BLACK,7,L#50-SANTA CRUZ,15,3rd/4thL,19U_BOYS_PLATINUM,202602011600
1-Feb,5:00 PM,WOOLLETT NEAR LEFT,19Bpt36,Q1(2ndJ)-LA JOLLA UNITED NAVY,12,Q2(2ndK)-CHANNEL ISLANDS UNITED TEAL,11,overall 3rd,19U_BOYS_PLATINUM,202602011700
1-Feb,5:00 PM,YORBA LINDA HS,19Bpt46,W#40-SHADOW MEN,13,W#41-IMPERIAL BLUE,18,1st/2ndP,19U_BOYS_PLATINUM,202602011700
1-Feb,5:00 PM,EDISON HS,19Bpt55,NORCAL,11,CT PREMIER,14,1st/2ndM,19U_BOYS_PLATINUM,202602011700
1-Feb,6:00 PM,YORBA LINDA HS,19Bpt47,L#40-FOOTHILL BLACK,9,L#41-SUPREME,14,3rd/4thP,19U_BOYS_PLATINUM,202602011800
1-Feb,6:00 PM,EDISON HS,19Bpt56,VANGUARD,19,TROJAN,17,3rd/4thM,19U_BOYS_PLATINUM,202602011800
