DATE,TIME,LOCATION,GAME ID,WHITE TEAM,S,DARK TEAM,S,COMMENTS,DIVISION,SORTKEY
5-Oct,12:00 PM,BECKMAN HS 1,12Bag19,W#15-TITANS WP,11,W#16-680 BLUE,8,5th,12U_BOYS_SILVER,202510051200
5-Oct,12:50 PM,BECKMAN HS 1,12Bag20,L#15-SHORE AQUATICS,16,L#16-SOCAL GOLD,8,7th,12U_BOYS_SILVER,202510051250
5-Oct,1:40 PM,BECKMAN HS 1,12Bag23,W#21-CC UNITED WHITE,21,W#22-MVPOLO,6,9th,12U_BOYS_SILVER,202510051340
5-Oct,2:30 PM,BECKMAN HS 1,12Bag24,L#21-LAMORINDA B,10,L#22-ORANGE COUNTY WPC RED,7,11th,12U_BOYS_SILVER,202510051430
4-Oct,7:00 AM,BECKMAN HS 1,12Bau01,A1-LAMORINDA A,10,A3-PATRIOT RED,9,"A bracket A1,A3",12U_BOYS_GOLD,202510040700
4-Oct,7:50 AM,BECKMAN HS 1,12Bau02,C1-SOUTH COAST RED,6,C2-ORANGE COUNTY WPC BLUE,18,"C bracket C1,C2",12U_BOYS_GOLD,202510040750
4-Oct,8:40 AM,BECKMAN HS 1,12Bau03,B2-PAC ORANGE,19,B3-LA JOLLA UNITED GOLD,6,"B bracket B2,B3",12U_BOYS_GOLD,202510040840
4-Oct,9:30 AM,BECKMAN HS 1,12Bau04,D1-FOOTHILL RED,8,D4-SAN CLEMENTE BLACK,4,"D bracket D1,D4",12U_BOYS_GOLD,202510040930
4-Oct,10:20 AM,BECKMAN HS 1,12Bau05,D2-NSD STARS,14,D3-CCU BLUE,6,"D bracket D2,D3",12U_BOYS_GOLD,202510041020
4-Oct,11:10 AM,BECKMAN HS 1,12Bau06,A2-ROUTE 66,16,A3-PATRIOT RED,3,"A bracket A2,A3",12U_BOYS_GOLD,202510041110
4-Oct,12:00 PM,BECKMAN HS 1,12Bau07,C1-SOUTH COAST RED,7,C3-STANFORD BLACK,14,"C bracket C1,C3",12U_BOYS_GOLD,202510041200
4-Oct,12:50 PM,BECKMAN HS 1,12Bau08,B1-TSUNAMI,14,B3-LA JOLLA UNITED GOLD,5,"B bracket B1,B3",12U_BOYS_GOLD,202510041250
4-Oct,1:40 PM,BECKMAN HS 1,12Bau09,D1-FOOTHILL RED,6,D3-CCU BLUE,9,"D bracket D1,D3",12U_BOYS_GOLD,202510041340
4-Oct,2:30 PM,BECKMAN HS 1,12Bau11,A1-LAMORINDA A,9,A2-ROUTE 66,20,"A bracket A1,A2",12U_BOYS_GOLD,202510041430
4-Oct,2:40 PM,COSTA MESA HS 2,12Bau10,D2-NSD STARS,11,D4-SAN CLEMENTE BLACK,3,"D bracket D2,D4",12U_BOYS_GOLD,202510041440
4-Oct,3:20 PM,BECKMAN HS 1,12Bau12,C2-ORANGE COUNTY WPC BLUE,6.3,C3-STANFORD BLACK,6.1,"C bracket C2,C3",12U_BOYS_GOLD,202510041520
4-Oct,4:10 PM,BECKMAN HS 1,12Bau13,B1-TSUNAMI,10,B2-PAC ORANGE,4,"B bracket B1,B2",12U_BOYS_GOLD,202510041610
5-Oct,8:00 AM,ESTANCIA HS 2,12Bau14,D3-CCU BLUE,6,D4-SAN CLEMENTE BLACK,5,"D bracket D3,D4",12U_BOYS_GOLD,202510050800
5-Oct,8:50 AM,ESTANCIA HS 2,12Bau15,D1-FOOTHILL RED,8,D2-NSD STARS,13,"D bracket D1,D2",12U_BOYS_GOLD,202510050850
5-Oct,9:40 AM,ESTANCIA HS 2,12Bau16,3rdB-LA JOLLA UNITED GOLD,7,3rdC-SOUTH COAST RED,10,9-13th 3B/3C,12U_BOYS_GOLD,202510050940
5-Oct,10:30 AM,ESTANCIA HS 2,12Bau17,3rdA-PATRIOT RED,5,3rdD-FOOTHILL RED,14,9-13th 3A/3D,12U_BOYS_GOLD,202510051030
5-Oct,11:20 AM,ESTANCIA HS 2,12Bau22,2ndB-PAC ORANGE,7,2ndC-STANFORD BLACK,6,5-8 semi 2B/2C,12U_BOYS_GOLD,202510051120
