DATE,TIME,LOCATION,GAME#,WHITE,S,DARK,S,COMMENTS,DIVISION
19-Jun,8:00 AM,SAN CLEMENTE HS,12GD201,A1-SAN DIEGO SHORES,7,A4-RANCHO TSUNAMI,4,"A bracket A1,A4",12U_GIRLS_D2
19-Jun,8:55 AM,SAN CLEMENTE HS,12GD202,A2-NEWPORT BEACH B,7,A3-SOUTH COAST,2,"A bracket A2,A3",12U_GIRLS_D2
19-Jun,9:50 AM,SAN CLEMENTE HS,12GD203,B2-908,7,B3-LA JOLLA UNITED,8,"B bracket B2,B3",12U_GIRLS_D2
19-Jun,10:45 AM,SAN CLEMENTE HS,12GD204,B1-SANTA BARBARA,12,B4-LOS ALAMITOS,6,"B bracket B1,B4",12U_GIRLS_D2
19-Jun,11:40 AM,SAN CLEMENTE HS,12GD205,A1-SAN DIEGO SHORES,7,A5-NORTH IRVINE,1,"A bracket A1,A5",12U_GIRLS_D2
19-Jun,12:35 PM,SAN CLEMENTE HS,12GD206,A3-SOUTH COAST,5,A4-RANCHO TSUNAMI,7,"A bracket A3,A4",12U_GIRLS_D2
19-Jun,1:30 PM,SAN CLEMENTE HS,12GD207,B1-SANTA BARBARA,7,B5-LONG BEACH SHORE,4,"B bracket B1,B5",12U_GIRLS_D2
19-Jun,2:25 PM,SAN CLEMENTE HS,12GD208,B3-LA JOLLA UNITED,6,B4-LOS ALAMITOS,7,"B bracket B3,B4",12U_GIRLS_D2
19-Jun,3:20 PM,SAN CLEMENTE HS,12GD209,A2-NEWPORT BEACH B,4.2,A5-NORTH IRVINE,4.1,"A bracket A2,A5",12U_GIRLS_D2
19-Jun,4:15 PM,SAN CLEMENTE HS,12GD210,B2-908,12,B5-LONG BEACH SHORE,7,"B bracket B2,B5",12U_GIRLS_D2
20-Jun,8:00 AM,SAN CLEMENTE HS,12GD211,A4-RANCHO TSUNAMI,7,A5-NORTH IRVINE,4,"A bracket A4,A5",12U_GIRLS_D2
20-Jun,8:55 AM,SAN CLEMENTE HS,12GD212,B4-LOS ALAMITOS,5,B5-LONG BEACH SHORE,19,"B bracket B4,B4",12U_GIRLS_D2
20-Jun,9:50 AM,SAN CLEMENTE HS,12GD213,A1-SAN DIEGO SHORES,3,A3-SOUTH COAST,2,"A bracket A1,A3",12U_GIRLS_D2
20-Jun,10:45 AM,SAN CLEMENTE HS,12GD214,A2-NEWPORT BEACH B,5,A4-RANCHO TSUNAMI,6,"A bracket A2,A4",12U_GIRLS_D2
20-Jun,11:40 AM,SAN CLEMENTE HS,12GD215,B1-SANTA BARBARA,9,B3-LA JOLLA UNITED,2,"B bracket B1,B3",12U_GIRLS_D2
20-Jun,12:35 PM,SAN CLEMENTE HS,12GD216,B2-908,13,B4-LOS ALAMITOS,8,"B bracket B2,B4",12U_GIRLS_D2
20-Jun,1:30 PM,SAN CLEMENTE HS,12GD217,A3-SOUTH COAST,2,A5-NORTH IRVINE,8,"A bracket A3,A5",12U_GIRLS_D2
20-Jun,2:25 PM,SAN CLEMENTE HS,12GD218,B3-LA JOLLA UNITED,2,B5-LONG BEACH SHORE,15,"B bracket B3,B5",12U_GIRLS_D2
20-Jun,3:20 PM,SAN CLEMENTE HS,12GD219,A1-SAN DIEGO SHORES,8,A2-NEWPORT BEACH B,7,"A bracket A1,A2",12U_GIRLS_D2
20-Jun,4:15 PM,SAN CLEMENTE HS,12GD220,B1-SANTA BARBARA,6,B2-908,10,"B bracket B1,B2",12U_GIRLS_D2
21-Jun,8:00 AM,SAN CLEMENTE HS,12GD221,1stA-SAN DIEGO SHORES,4,2ndB-SANTA BARBARA,3,1-4 semi,12U_GIRLS_D2
21-Jun,8:55 AM,SAN CLEMENTE HS,12GD222,1stB-908,15,2ndA-RANCHO TSUNAMI,2,1-4 semi,12U_GIRLS_D2
21-Jun,9:50 AM,SAN CLEMENTE HS,12GD223,5thA-SOUTH COAST,8,5thB-LA JOLLA UNITED,7,9th,12U_GIRLS_D2
21-Jun,10:45 AM,SAN CLEMENTE HS,12GD224,4thA-NORTH IRVINE,5,4thB-LOS ALAMITOS,8,7th,12U_GIRLS_D2
21-Jun,11:40 AM,SAN CLEMENTE HS,12GD225,3rdA-NEWPORT BEACH B,6,3rdB-LONG BEACH SHORE,11,5th,12U_GIRLS_D2
21-Jun,12:35 PM,SAN CLEMENTE HS,12GD226,L#21-SANTA BARBARA,9,L#22-RANCHO TSUNAMI,4,3rd,12U_GIRLS_D2
21-Jun,1:30 PM,SAN CLEMENTE HS,12GD227,W#21-SAN DIEGO SHORES,5,W#22-908,7,1st,12U_GIRLS_D2
