DATE,TIME,LOCATION,GAME#,WHITE,S,DARK,S,COMMENTS,DIVISION
20-Jun,12:00 PM,ESPERANZA HS,14GD222,H2(L#18)-LOS ALAMITOS,5,H3(4thD)(L#9)-NORCAL,8,9th-14th (11 v 13),14U_GIRLS_D2
20-Jun,12:00 PM,SONORA HS,14GD225,E1(1stA)-STANFORD B,6,E4(W#15)-FOOTHILL CLUB,10,1-8 QF(1v7),14U_GIRLS_D2
20-Jun,1:00 PM,ESPERANZA HS,14GD228,F2(1stC)-LA JOLLA UNITED,3,F3(W#18)(5)-SAN CLEMENTE B,13,1-8 QF(3v5),14U_GIRLS_D2
20-Jun,2:00 PM,SONORA HS,14GD221,G2(L#16)-ASPHALT GREEN,30,G3(4thB)(L#10)-PATRIOT B,12,9th-14th (12 v 14),14U_GIRLS_D2
20-Jun,3:00 PM,ESPERANZA HS,14GD220,H1(L#17)-BIG VALLEY,13,H3(4thD)(L#9)-NORCAL,6,9th-14th (10 v 13),14U_GIRLS_D2
20-Jun,3:00 PM,SONORA HS,14GD227,F1(1stB)(W#12)-SAN DIEGO SHORES B,17,F4(W#17)(8)-LA PREMIER/PAC,11,1-8 QF(2v8),14U_GIRLS_D2
20-Jun,5:00 PM,SONORA HS,14GD223,G1(L#15)-AMERICAN RIVER,13,G2(L#16)-ASPHALT GREEN,18,9th-14th (9 v 12),14U_GIRLS_D2
20-Jun,6:00 PM,SERVITE HS,14GD224,H1(L#17)-BIG VALLEY,9,H2(L#18)-LOS ALAMITOS,8,9th-14th (10 v 11),14U_GIRLS_D2
21-Jun,8:00 AM,SERVITE HS,14GD229,L#25-STANFORD B,10.3,L#26-ROSE BOWL,10.4,5-8 semi 7v6,14U_GIRLS_D2
21-Jun,8:00 AM,CAPISTRANO VALLEY HS,14GD234,2ndG-AMERICAN RIVER,8.3,2ndH-NORCAL,8.2,11th,14U_GIRLS_D2
21-Jun,8:00 AM,YORBA LINDA HS,14GD235,1stG-ASPHALT GREEN,11,1stH-BIG VALLEY,6,9th,14U_GIRLS_D2
21-Jun,9:00 AM,SERVITE HS,14GD230,L`#27-LA PREMIER/PAC,8,L#28-LA JOLLA UNITED,10,5-8 semi 8v5,14U_GIRLS_D2
21-Jun,10:00 AM,SERVITE HS,14GD231,W#25-FOOTHILL CLUB,9,W#26-MAVERICKS,11,1-4 semi 1v4,14U_GIRLS_D2
21-Jun,11:00 AM,SERVITE HS,14GD232,W#27-SAN DIEGO SHORES B,15,W#28-SAN CLEMENTE B,20,1-4 semi 2v3,14U_GIRLS_D2
21-Jun,11:00 AM,CAPISTRANO VALLEY HS,14GD233,3rdG-PATRIOT B,9,3rdH-LOS ALAMITOS,13,13th,14U_GIRLS_D2
21-Jun,12:00 PM,SERVITE HS,14GD237,W#29-ROSE BOWL,16,W#30-LA JOLLA UNITED,9,5th,14U_GIRLS_D2
21-Jun,1:00 PM,SERVITE HS,14GD236,L#29-STANFORD B,8,L#30-LA PREMIER/PAC,6,7th,14U_GIRLS_D2
21-Jun,2:00 PM,SERVITE HS,14GD238,L#31-FOOTHILL CLUB,7,L#32-SAN DIEGO SHORES B,15,3rd,14U_GIRLS_D2
21-Jun,3:00 PM,SERVITE HS,14GD239,W#31-MAVERICKS,8.5,W#32-SAN CLEMENTE B,8.4,1st,14U_GIRLS_D2
