"Day 1","HOT! RESULTS","SUBMIT SCORES!","Quarter Lengths by Day","","","","","","","","","","","","","","","","","","","","","",""
"Thu, July 23","","","6-6-7-7","","","","","","","","","","","","","","","","","","","","","",""
"","","","Seeds","","","","","","","","","","","","","","","","","","","","","",""
"","","C","D","","F","","Team Travels","","","","","","","","","","","","","","","","","",""
"","","C(3)-SOCAL","D(4)-BACK BAY","","F(6)-PALOS VERDES BLUE","","","","","","","","","","","","","","","","","","","",""
"","","C(22)-MID PEN","D(21)-BURLINGAME","","F(19)-CDM WHITE","","","","","","","","","","","","","","","","","","","",""
"","","C(27)-AMERICAN RIVER B","D(28)-OCWPC RED","","F(30)-TRI VALLEY TRITONS","","","","","","","","","","","","","","","","","","","",""
"","","I","J","","L","","","","","","","","","","","","","","","","","","","",""
"","","I(9)-SAND CANYON","J(10)-908 BLUE","","L(12)-STANFORD WHITE","","","","","","","","","","","","","","","","","","","",""
"","","I(16)-CCU WHITE","J(15)-NORTH IRVINE RED","","L(13)-LOS ALAMITOS","","","","","","","","","","","","","","","","","","","",""
"","","I(33)-LOYOLA","J(34)-NAVY","","L(36)-ROSE BOWL BLACK","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","14BQ","","","","","","","","","","","","","",""
"","","","TRABUCO HILLS HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","W to #","L to #","GMID","","","","","","","","","","","","","",""
"23-Jul","7:00 AM","Group A","TRABUCO HILLS HS","1","A(1)-NSD STARS","","A(25)-LA JOLLA C","","","","14BQ-001","","","","","","","","","","","","","",""
"23-Jul","7:50 AM","Group B","TRABUCO HILLS HS","4","B(2)-SOUTH COAST WHITE","","B(26)-BREA OLINDA","","","","14BQ-004","","","","","","","","","","","","","",""
"23-Jul","8:40 AM","Group C","TRABUCO HILLS HS","7","C(3)-SOCAL","","C(27)-AMERICAN RIVER B","","","","14BQ-007","","","","","","","","","","","","","",""
"23-Jul","9:30 AM","Group D","TRABUCO HILLS HS","10","D(4)-BACK BAY","","D(28)-OCWPC RED","","","","14BQ-010","","","","","","","","","","","","","",""
"23-Jul","10:20 AM","Group A","TRABUCO HILLS HS","13","A(24)-SOVA","","A(25)-LA JOLLA C","","","","14BQ-013","","","","","","","","","","","","","",""
"23-Jul","11:10 AM","Group B","TRABUCO HILLS HS","16","B(23)-PAC","","B(26)-BREA OLINDA","","","","14BQ-016","","","","","","","","","","","","","",""
"23-Jul","12:00 PM","Group C","TRABUCO HILLS HS","19","C(22)-MID PEN","","C(27)-AMERICAN RIVER B","","","","14BQ-019","","","","","","","","","","","","","",""
"23-Jul","12:50 PM","Group D","TRABUCO HILLS HS","22","D(21)-BURLINGAME","","D(28)-OCWPC RED","","","","14BQ-022","","","","","","","","","","","","","",""
"23-Jul","1:40 PM","Group A","TRABUCO HILLS HS","25","A(1)-NSD STARS","","A(24)-SOVA","","","","14BQ-025","","","","","","","","","","","","","",""
"23-Jul","2:30 PM","Group B","TRABUCO HILLS HS","28","B(2)-SOUTH COAST WHITE","","B(23)-PAC","","","","14BQ-028","","","","","","","","","","","","","",""
"23-Jul","3:20 PM","Group C","TRABUCO HILLS HS","31","C(3)-SOCAL","","C(22)-MID PEN","","","","14BQ-031","","","","","","","","","","","","","",""
"23-Jul","4:10 PM","Group D","TRABUCO HILLS HS","34","D(4)-BACK BAY","","D(21)-BURLINGAME","","","","14BQ-034","","","","","","","","","","","","","",""
"23-Jul","5:50 PM","2-3 cross","TRABUCO HILLS HS","37","2nd A-","","3rd B-","","ni_U3","cu_N1","14BQ-037","","","","","","","","","","","","","",""
"23-Jul","6:40 PM","2-3 cross","TRABUCO HILLS HS","40","2nd B-","","3rd A-","","ni_T3","cu_M1","14BQ-040","","","","","","","","","","","","","",""
"23-Jul","7:30 PM","2-3 cross","TRABUCO HILLS HS","43","2nd C-","","3rd D-","","ni_S3","cu_P1","14BQ-043","","","","","","","","","","","","","",""
"23-Jul","8:20 PM","2-3 cross","TRABUCO HILLS HS","46","2nd D-","","3rd C-","","ni_R3","cu_O1","14BQ-046","","","","","","","","","","","","","",""
"","","","VILLA PARK HS","","","","","","","","","","","","","","","","","","","","","",""
"","","Type","Location","","White","S","Dark","S","W to #","L to #","GMID","","","","","","","","","","","","","",""
"23-Jul","7:00 AM","Group H","VILLA PARK HS","2","H(8)-NORCAL TEAL","","H(32)-VALLEY UNITED","","","","14BQ-002","","","","","","","","","","","","","",""
